"Dostoevsky_BednieLyudi" "Dostoevsky_Besy" "Dostoevsky_PrestuplenieINakazanie" "Dostoevsky_UnijennieIOskorblennie" "Goncharov_Oblomov" "Goncharov_Obryv" "Goncharov_ObyknovennayaIstoriya" "Tolstoy_AnnaKarenina" "Tolstoy_SemeynoeShastye" "Tolstoy_VoinaIMir" "Tolstoy_Voskresenie" "Turgenev_DvoryanskoeGnezdo" "Turgenev_Dym" "Turgenev_OtsyIDeti"
"o" 0 0 0 0 0 0 0 5.14096185737977 0 8.8703952039126 0 0 0 0
"i" 5 0.900532132623823 4.06976744186047 4 2 0.654450261780105 0.816326530612245 7.56218905472637 2.77777777777778 6.27908811232942 0.453857791225416 0.236406619385343 0.862068965517241 0.398406374501992
"ii" 5 0.859598853868195 4.06976744186047 3.2 2 0.589005235602094 0.816326530612245 7.33001658374793 2.77777777777778 4.36617496253057 0.453857791225416 0.236406619385343 0.246305418719212 0.398406374501992
"de" 0 2.33319688907081 1.16279069767442 0.8 1 1.70157068062827 2.85714285714286 0.762852404643449 2.77777777777778 2.6938550130157 1.0590015128593 4.01891252955083 3.32512315270936 1.99203187250996
"a" 0 1.18706508391322 0.581395348837209 0.8 0.5 2.02879581151832 4.48979591836735 4.77611940298507 0 2.27971917646131 1.36157337367625 2.36406619385343 2.33990147783251 1.59362549800797
"iii" 0 0.777732296356938 3.48837209302326 3.2 2 0.392670157068063 0.816326530612245 2.95190713101161 2.77777777777778 1.45144750335253 0.605143721633888 0.236406619385343 0.492610837438424 0.398406374501992
"vous" 0 1.76013098649202 1.16279069767442 0 0 1.43979057591623 0 0.33167495854063 2.77777777777778 1.52638636901475 2.26928895612708 1.41843971631206 1.72413793103448 0.796812749003984
"est" 0 2.4559967253377 1.16279069767442 1.6 0 1.30890052356021 0 0.862354892205638 2.77777777777778 1.2187426047172 2.42057488653555 1.6548463356974 2.58620689655172 1.59362549800797
"la" 0 0.695865738845682 2.32558139534884 0 0 1.43979057591623 2.44897959183673 0.630182421227197 0 1.40017354263627 1.0590015128593 3.3096926713948 1.72413793103448 0.796812749003984
"et" 0 3.06999590667212 1.16279069767442 0 0 1.04712041884817 0 0.298507462686567 0 1.25423996213615 0.75642965204236 0.472813238770686 0.369458128078818 3.58565737051793
"le" 0 1.10519852640196 0.581395348837209 1.6 0 0.981675392670157 0.408163265306122 0.530679933665008 2.77777777777778 1.39622939181194 0.605143721633888 0.709219858156028 0.985221674876847 0
"iv" 0 0.573065902578797 3.48837209302326 3.2 2 0.458115183246073 0.816326530612245 2.25538971807629 2.77777777777778 1.08069732586574 0.453857791225416 0.236406619385343 0.369458128078818 0.398406374501992
"l" 0 0.695865738845682 0 0.8 0 0.458115183246073 0.816326530612245 0.265339966832504 0 1.28184901790644 0.453857791225416 1.6548463356974 1.72413793103448 1.19521912350598
"je" 0 1.67826442898076 0 1.6 0 1.17801047120419 0 0.165837479270315 2.77777777777778 1.08069732586574 0.75642965204236 0.472813238770686 0.862068965517241 0.398406374501992
"que" 0 0.98239869013508 0 0 0 1.2434554973822 0.408163265306122 0.199004975124378 0 1.131971286582 1.0590015128593 0.236406619385343 1.10837438423645 0
"il" 0 1.47359803520262 0 0 0 0.850785340314136 0 0.464344941956882 0 0.84404827640609 1.51285930408472 0.236406619385343 0.369458128078818 0.796812749003984
"les" 0 0.327466230045027 0 0 0 0.458115183246073 0.408163265306122 0.232172470978441 0 0.926875443716968 0.605143721633888 0.236406619385343 0.369458128078818 0
"mon" 0 0.859598853868195 0.581395348837209 8 1.5 0.589005235602094 0 0.199004975124378 2.77777777777778 0.765165259919539 1.21028744326778 1.41843971631206 0.369458128078818 0.796812749003984
"un" 0 1.63733115022513 0 0 0 0.785340314136126 0.408163265306122 0.33167495854063 0 0.670505640135679 1.36157337367625 1.18203309692671 1.10837438423645 0.398406374501992
"c" 0 1.67826442898076 0.581395348837209 0.8 0 0.785340314136126 0 0.464344941956882 0 0.623175830243749 1.21028744326778 1.41843971631206 1.10837438423645 0.796812749003984
"v" 0 0.327466230045027 3.48837209302326 3.2 2 0.392670157068063 0.816326530612245 3.0514096185738 2.77777777777778 0.44568904314901 1.21028744326778 0.236406619385343 0.738916256157635 0.398406374501992
"ma" 0 0.613999181334425 0 0 15 1.04712041884817 13.0612244897959 0.165837479270315 0 0.504851305513923 0.75642965204236 0.709219858156028 0.123152709359606 0
"pas" 0 0.613999181334425 0.581395348837209 0 0 1.76701570680628 0 0.33167495854063 0 0.654729036838369 0.302571860816944 0.472813238770686 1.47783251231527 0
"ce" 0 1.35079819893573 0 0 0 0.981675392670157 0 0.232172470978441 0 0.575846020351818 0.151285930408472 0 0.738916256157635 0
"d" 0 0.368399508800655 0 0 0.5 0.327225130890052 0.408163265306122 0.165837479270315 0 0.603455076122111 1.0590015128593 0.236406619385343 1.10837438423645 0.796812749003984
"vi" 0 0.327466230045027 2.90697674418605 3.2 2 0.327225130890052 0.816326530612245 2.65339966832504 2.77777777777778 0.287923010175909 0.75642965204236 0.236406619385343 0.246305418719212 0.398406374501992
"vii" 0 0.286532951289398 1.74418604651163 3.2 2 0.327225130890052 0 2.75290215588723 2.77777777777778 0.295811311824564 0.605143721633888 0.236406619385343 0.369458128078818 0.398406374501992
"n" 0 0.573065902578797 0.581395348837209 4 0.5 0.850785340314136 0 0.265339966832504 0 0.500907154689595 0.907715582450832 0.945626477541371 1.23152709359606 0
"ne" 0 0.24559967253377 0.581395348837209 0 0 0.261780104712042 0 0.165837479270315 0 0.615287528595094 0.453857791225416 0 0.61576354679803 0
"en" 0 1.22799836266885 1.74418604651163 0.8 0 0.261780104712042 0 0.066334991708126 2.77777777777778 0.496963003865268 0.302571860816944 0.709219858156028 0.369458128078818 1.19521912350598
"une" 0 0.613999181334425 1.16279069767442 0 0 0.458115183246073 0.408163265306122 0.199004975124378 0 0.50879545633825 0.302571860816944 0.472813238770686 1.60098522167488 0
"des" 0 0.368399508800655 0 0 0 0.261780104712042 0.816326530612245 0.265339966832504 0 0.485130551392285 0.453857791225416 0.709219858156028 1.10837438423645 0.796812749003984
"qu" 0 0.654932460090053 0 0 0 0.654450261780105 0 0.165837479270315 0 0.49301885304094 0.302571860816944 0 0.492610837438424 0
"du" 0 0.368399508800655 2.32558139534884 0 0 0.850785340314136 0.408163265306122 0.199004975124378 2.77777777777778 0.441744892324683 0.302571860816944 0.472813238770686 0.985221674876847 0.796812749003984
"mais" 0 1.39173147769136 0 0 0.5 0.719895287958115 0.408163265306122 0.298507462686567 0 0.370750177486787 0 0.236406619385343 0.369458128078818 0.398406374501992
"viii" 0 0.204666393778142 0.581395348837209 3.2 2 0.392670157068063 0 1.65837479270315 2.77777777777778 0.276090557702927 0.605143721633888 0.236406619385343 0.369458128078818 0.398406374501992
"qui" 0 0.409332787556283 0 0 0 0.130890052356021 0 0.165837479270315 0 0.496963003865268 0 0.472813238770686 0.246305418719212 0
"maman" 0 0.286532951289398 0 0.8 0.5 2.4869109947644 10.2040816326531 1.19402985074627 5.55555555555556 0.114380373905498 0.151285930408472 1.18203309692671 0 0
"nous" 0 0.368399508800655 0 0 0 0.589005235602094 0.408163265306122 0.033167495854063 0 0.449633193973338 0 0 0.123152709359606 0
"pour" 0 0.286532951289398 1.16279069767442 0 0 0.196335078534031 0 0.066334991708126 0 0.453577344797665 0.75642965204236 0 0.123152709359606 0
"x" 0 0.122799836266885 0 2.4 2 0.261780104712042 0 0.995024875621891 0 0.331308669243512 0.453857791225416 0.472813238770686 0 0.796812749003984
"tout" 0 0.98239869013508 1.16279069767442 0 0 0.589005235602094 0 0.066334991708126 0 0.343141121716494 0.302571860816944 0.709219858156028 0.369458128078818 0.796812749003984
"ix" 0 0.0818665575112567 0 3.2 2 0.327225130890052 0 1.06135986733002 2.77777777777778 0.307643764297547 0.453857791225416 0.236406619385343 0 0.398406374501992
"xii" 0 0 0 0.8 1 0.327225130890052 0 1.06135986733002 0 0.319476216770529 0.453857791225416 0.236406619385343 0.123152709359606 0.398406374501992
"bourienne" 0 0 0 0 0 0 0 0 0 0.49301885304094 0 0 0 0
"m-lle" 0 0 0 0 0.5 0 0 0.033167495854063 0 0.465409797270648 0 0 0 0
"nicolas" 0 2.41506344658207 0 0 0 0.0654450261780105 0 0 0 0.236649049459651 0 0 0 0
"xvi" 0 0 0 0 0 0.261780104712042 0.816326530612245 0.995024875621891 0 0.307643764297547 0.453857791225416 0.236406619385343 0.123152709359606 0.398406374501992
"xv" 0 0 0 0.8 0 0.261780104712042 0.408163265306122 1.12769485903814 0 0.283978859351582 0.453857791225416 0.472813238770686 0 0.398406374501992
"cher" 0 1.18706508391322 0.581395348837209 2.4 0 0.196335078534031 0 0.0995024875621891 0 0.272146406878599 1.0590015128593 0.236406619385343 0.123152709359606 0
"xi" 0 0 0 1.6 2 0.261780104712042 0 0.928689883913765 0 0.291867161000237 0.453857791225416 0.236406619385343 0 0.398406374501992
"bien" 0 0.122799836266885 0 0.8 0 0.785340314136126 0 0.033167495854063 2.77777777777778 0.327364518419184 0.453857791225416 1.41843971631206 0.369458128078818 0.796812749003984
